YEAR,MONTH,DAY_OF_MONTH,Latitude,Longitude,TIME_HOUR,TIME_MINUTE,DAY_OF_WEEK,CLASSIFICATION,NEIGHBOURHOOD
0,12,4,49.26586213,-123.1197898,20,3,3,1,3
0,2,28,49.26586213,-123.1197898,10,51,4,1,3
0,4,16,49.26630015,-123.1456734,17,5,2,1,9
0,4,2,49.21316421,-123.1146508,8,16,2,1,10
0,10,4,49.21502489,-123.1475412,9,10,5,1,10
0,8,9,49.21932485,-123.1401385,9,6,5,1,10
0,10,5,49.22153322,-123.1285129,12,45,6,1,13
0,8,14,49.22410836,-123.1417589,18,30,3,1,7
0,8,6,49.22536443,-123.1209005,17,29,2,1,13
0,9,14,49.2681826,-123.1575142,9,38,6,1,9
0,1,25,49.2681826,-123.1575142,14,30,5,1,9
0,4,13,49.26846213,-123.175756,23,30,6,1,9
0,4,29,49.2679583,-123.1432453,19,0,1,1,3
0,4,7,49.26791623,-123.1408809,8,15,0,1,3
0,4,7,49.26791623,-123.1408809,8,0,0,1,3
0,4,7,49.26858478,-123.1836466,8,30,0,1,9
0,10,15,49.26849514,-123.1776943,18,30,2,1,9
0,6,28,49.2685995,-123.1856948,0,34,5,1,23
0,3,23,49.2685995,-123.1856948,14,50,6,1,23
0,11,3,49.22719854,-123.1588122,10,0,0,1,7
0,7,9,49.22573896,-123.1059037,19,35,2,1,13
0,8,28,49.22696223,-123.1398167,12,0,3,1,7
0,5,2,49.22696223,-123.1398167,11,29,4,1,7
0,4,30,49.22696223,-123.1398167,9,55,2,1,7
0,2,8,49.22696223,-123.1398167,5,39,5,1,7
0,9,22,49.22701157,-123.1435938,13,15,0,1,7
0,9,19,49.22747035,-123.1282811,9,53,4,1,13
0,7,16,49.22747035,-123.1282811,14,22,2,1,13
0,11,17,49.22699725,-123.1163446,17,45,0,1,13
0,6,11,49.2298039,-123.1162139,20,40,2,1,13
0,11,19,49.23376283,-123.123888,17,35,2,1,13
0,1,4,49.23388418,-123.1280917,9,44,5,1,13
0,4,15,49.23467711,-123.1627511,8,40,1,1,7
0,3,10,49.23477315,-123.1883428,12,55,0,1,2
0,10,16,49.23433856,-123.1396315,0,7,3,1,7
0,4,7,49.23433856,-123.1396315,12,45,0,1,7
0,8,29,49.23475627,-123.1820376,8,25,4,1,2
0,9,23,49.23473408,-123.1730675,10,12,1,1,7
0,1,20,49.23473901,-123.1757599,15,20,0,1,7
0,7,5,49.2338184,-123.1223909,15,55,5,1,17
0,6,20,49.23365219,-123.1178713,16,20,4,1,17
0,5,16,49.26889985,-123.1455986,15,30,4,1,9
0,5,14,49.23855752,-123.1786721,9,22,2,1,2
0,5,22,49.23918487,-123.1553887,12,25,3,1,0
0,12,20,49.24237014,-123.185253,17,45,5,1,2
0,10,18,49.24211087,-123.1534882,17,12,5,1,0
0,10,12,49.24211087,-123.1534882,8,38,6,1,0
0,3,28,49.25261302,-123.1274118,17,20,4,1,16
0,5,16,49.25352158,-123.1273729,17,59,4,1,16
0,6,1,49.25398411,-123.1152125,18,40,6,1,17
0,3,1,49.25649262,-123.1908029,0,55,5,1,2
0,11,28,49.2558642,-123.1151207,16,43,4,1,17
0,1,2,49.25751293,-123.1649289,19,0,3,1,0
0,5,24,49.25800406,-123.1851191,9,50,5,1,9
0,5,15,49.25877373,-123.1761201,11,51,3,1,9
0,6,14,49.25871249,-123.1267678,3,52,5,1,3
0,10,22,49.25883036,-123.1339147,18,14,2,1,3
0,8,5,49.25883036,-123.1339147,19,50,1,1,3
0,8,4,49.26111206,-123.1577391,16,30,0,1,9
0,1,16,49.26111206,-123.1577391,8,12,3,1,9
0,6,17,49.26118317,-123.1647899,12,39,1,1,9
0,10,7,49.26030665,-123.1069947,9,20,1,1,11
0,6,8,49.26137606,-123.1682678,8,33,6,1,9
0,11,3,49.26049183,-123.1199417,10,4,0,1,3
0,9,17,49.26079466,-123.1387028,2,42,2,1,3
0,8,22,49.26079466,-123.1387028,6,10,4,1,3
0,3,27,49.26083667,-123.1411493,6,0,3,1,3
0,5,21,49.26038892,-123.1149938,23,55,2,1,3
0,11,2,49.26071045,-123.1338373,23,0,6,1,3
0,1,8,49.26071045,-123.1338373,18,25,2,1,3
0,12,13,49.26114471,-123.1601581,12,15,5,1,9
0,4,18,49.26147541,-123.1740681,21,20,4,1,9
0,6,20,49.26173624,-123.1411107,19,30,4,1,3
0,7,14,49.26321113,-123.1682328,12,13,0,1,9
0,11,25,49.26362063,-123.1939229,19,30,1,1,23
0,10,14,49.26285454,-123.1529753,17,40,1,1,9
0,8,17,49.26348088,-123.1859093,19,25,6,1,23
0,8,15,49.26111206,-123.1577391,15,0,4,1,9
0,10,9,49.26292918,-123.1576761,8,32,3,1,9
0,7,24,49.24513589,-123.0651801,7,0,3,1,6
0,2,21,49.28120643,-123.0655852,17,45,4,1,4
0,10,20,49.26228935,-123.0659174,19,27,0,1,6
0,8,16,49.26228935,-123.0659174,23,5,5,1,6
0,8,1,49.26228935,-123.0659174,19,0,4,1,6
0,7,29,49.26228935,-123.0659174,17,40,1,1,6
0,7,20,49.26228935,-123.0659174,0,37,6,1,6
0,10,29,49.22026362,-123.0658753,7,47,2,1,21
0,7,5,49.22026362,-123.0658753,18,37,5,1,21
0,12,27,49.22313314,-123.0658241,21,55,5,1,21
0,12,9,49.2251661,-123.0657719,15,30,1,1,21
0,7,6,49.2251661,-123.0657719,7,53,6,1,21
0,3,30,49.23268627,-123.0655346,20,0,6,1,21
0,1,16,49.23268627,-123.0655346,15,58,3,1,21
0,11,25,49.23748079,-123.0654448,16,10,1,1,6
0,8,23,49.24405643,-123.0652337,17,40,5,1,6
0,10,26,49.2595368,-123.065955,11,5,6,1,6
0,1,3,49.2595368,-123.065955,20,48,4,1,6
0,4,5,49.27664425,-123.0683838,15,19,5,1,4
0,2,28,49.24968607,-123.1592416,8,37,4,1,0
0,2,14,49.24517845,-123.1533329,7,5,4,1,0
0,4,23,49.23200799,-123.0312628,22,20,2,1,14
0,8,5,49.2246316,-123.0322744,13,40,1,1,8
0,2,20,49.27910633,-123.0565631,9,0,3,1,4
0,3,1,49.25751293,-123.1649289,20,53,5,1,0
0,10,7,49.28248538,-123.1280525,14,50,1,1,22
0,1,11,49.27759257,-123.1354365,5,48,5,1,22
0,8,23,49.26986066,-123.0838803,17,0,5,1,19
0,12,20,49.27073057,-123.0874284,14,44,5,1,19
0,12,20,49.28479868,-123.0597185,17,22,5,1,4
0,12,12,49.20859717,-123.1209557,17,46,4,1,10
0,9,23,49.20859717,-123.1209557,11,50,1,1,10
0,9,5,49.20859717,-123.1209557,23,34,4,1,10
0,3,20,49.20859717,-123.1209557,11,55,3,1,10
0,9,15,49.21226023,-123.1099803,14,46,0,1,10
0,10,11,49.22578166,-123.1684216,18,5,5,1,7
0,2,6,49.23319243,-123.1923203,17,0,3,1,12
0,12,11,49.2070373,-123.1244253,18,25,3,1,10
0,12,3,49.2070373,-123.1244253,16,53,2,1,10
0,7,9,49.21004931,-123.1171698,8,10,2,1,10
0,11,15,49.29801387,-123.1254657,13,11,5,1,18
0,7,4,49.31103699,-123.1425722,14,38,4,1,18
0,8,1,49.23104695,-123.0946382,16,5,4,1,20
0,12,7,49.25376953,-123.0938846,12,20,6,1,15
0,6,16,49.27716336,-123.1166001,15,36,0,1,1
0,5,21,49.27716336,-123.1166001,20,0,2,1,1
0,10,27,49.28221947,-123.1244356,4,15,0,1,22
0,11,16,49.26200067,-123.049589,1,34,6,1,14
0,9,23,49.25067568,-123.0496189,18,20,1,1,14
0,9,22,49.25067568,-123.0496189,1,25,0,1,14
0,1,26,49.25067568,-123.0496189,10,30,6,1,14
