YEAR,MONTH,DAY_OF_MONTH,Latitude,Longitude,TIME_HOUR,TIME_MINUTE,DAY_OF_WEEK,CLASSIFICATION,NEIGHBOURHOOD
790,0,1,19,49.27910633,-123.0565631,9,0,2,1,4
791,0,2,0,49.25751293,-123.1649289,20,53,4,1,0
794,0,9,6,49.28248538,-123.1280525,14,50,0,1,22
797,0,0,10,49.27759257,-123.1354365,5,48,4,1,22
798,0,7,22,49.26986066,-123.0838803,17,0,4,1,19
799,0,11,19,49.27073057,-123.0874284,14,44,4,1,19
803,0,11,19,49.28479868,-123.0597185,17,22,4,1,4
807,0,11,11,49.20859717,-123.1209557,17,46,3,1,10
808,0,8,22,49.20859717,-123.1209557,11,50,0,1,10
809,0,8,4,49.20859717,-123.1209557,23,34,3,1,10
812,0,2,19,49.20859717,-123.1209557,11,55,2,1,10
814,0,8,14,49.21226023,-123.1099803,14,46,-1,1,10
816,0,9,10,49.22578166,-123.1684216,18,5,4,1,7
817,0,1,5,49.23319243,-123.1923203,17,0,2,1,12
818,0,11,10,49.2070373,-123.1244253,18,25,2,1,10
819,0,11,2,49.2070373,-123.1244253,16,53,1,1,10
820,0,6,8,49.21004931,-123.1171698,8,10,1,1,10
822,0,10,14,49.29801387,-123.1254657,13,11,4,1,18
823,0,6,3,49.31103699,-123.1425722,14,38,3,1,18
826,0,7,0,49.23104695,-123.0946382,16,5,3,1,20
827,0,11,6,49.25376953,-123.0938846,12,20,5,1,15
830,0,5,15,49.27716336,-123.1166001,15,36,-1,1,1
831,0,4,20,49.27716336,-123.1166001,20,0,1,1,1
832,0,9,26,49.28221947,-123.1244356,4,15,-1,1,22
837,0,10,15,49.26200067,-123.049589,1,34,5,1,14
838,0,8,22,49.25067568,-123.0496189,18,20,0,1,14
840,0,8,21,49.25067568,-123.0496189,1,25,-1,1,14
841,0,0,25,49.25067568,-123.0496189,10,30,5,1,14
843,0,6,10,49.25813085,-123.0285444,12,20,3,1,14
844,0,9,16,49.24534864,-123.0285508,15,55,3,1,14
845,0,9,27,49.2807142,-123.1188083,1,0,0,1,1
846,0,9,18,49.27649772,-123.1251911,4,40,5,1,1
847,0,9,5,49.23277204,-123.0332413,13,49,-1,1,14
848,0,9,4,49.21221488,-123.0771235,9,22,5,1,20
849,0,0,9,49.21221488,-123.0771235,17,22,3,1,20
850,0,5,26,49.20964005,-123.066122,16,18,3,1,21
857,0,11,19,49.21108669,-123.0943255,1,49,4,1,20
858,0,1,25,49.20782638,-123.0389084,16,30,1,1,8
860,0,5,8,49.21097231,-123.0911399,16,29,-1,1,20
862,0,4,1,49.21097231,-123.0911399,9,41,3,1,20
863,0,6,24,49.21104304,-123.0807052,16,55,3,1,20
864,0,2,8,49.21097678,-123.0720826,23,30,5,1,21
867,0,2,24,49.26728524,-123.0987899,15,50,0,1,11
868,0,10,9,49.24069546,-123.0377665,20,0,-1,1,14
870,0,2,29,49.24069546,-123.0377665,10,45,5,1,14
871,0,11,12,49.25812042,-123.0338767,20,0,4,1,14
876,0,3,6,49.25812042,-123.0338767,17,0,-1,1,14
877,0,8,11,49.26381439,-123.0338394,14,24,3,1,5
878,0,8,1,49.25230051,-123.0338727,8,52,0,1,14
879,0,9,22,49.2807142,-123.1188083,1,30,2,1,1
880,0,9,19,49.28010349,-123.1178719,12,30,-1,1,1
