YEAR,MONTH,DAY_OF_MONTH,NEIGHBOURHOOD,Latitude,Longitude,TIME_HOUR,TIME_MINUTE,DAY_OF_WEEK,CLASSIFICATION
594,2003,3,30,Kitsilano,49.26489261,-123.1623832,15,30,6,1
595,2003,12,27,Fairview,49.26529539,-123.1360764,17,6,5,1
596,2003,12,27,Fairview,49.26537061,-123.1408599,22,40,5,1
597,2003,8,26,Mount Pleasant,49.26492276,-123.1147431,12,30,1,1
599,2003,7,24,Mount Pleasant,49.2647736,-123.1108942,8,0,3,1
602,2003,8,30,Marpole,49.20697184,-123.1346669,8,14,5,1
603,2003,1,26,Marpole,49.20844469,-123.1288634,12,36,6,1
604,2003,6,14,Marpole,49.2084117,-123.1261587,1,40,5,1
605,2003,11,5,Marpole,49.20836882,-123.1242227,16,14,2,1
606,2003,1,18,Marpole,49.20836882,-123.1242227,11,0,5,1
607,2003,12,4,Fairview,49.26586213,-123.1197898,20,3,3,1
608,2003,2,28,Fairview,49.26586213,-123.1197898,10,51,4,1
611,2003,4,16,Kitsilano,49.26630015,-123.1456734,17,5,2,1
612,2003,4,2,Marpole,49.21316421,-123.1146508,8,16,2,1
613,2003,10,4,Marpole,49.21502489,-123.1475412,9,10,5,1
615,2003,8,9,Marpole,49.21932485,-123.1401385,9,6,5,1
617,2003,10,5,Oakridge,49.22153322,-123.1285129,12,45,6,1
623,2003,8,14,Kerrisdale,49.22410836,-123.1417589,18,30,3,1
624,2003,8,6,Oakridge,49.22536443,-123.1209005,17,29,2,1
627,2003,9,14,Kitsilano,49.2681826,-123.1575142,9,38,6,1
628,2003,1,25,Kitsilano,49.2681826,-123.1575142,14,30,5,1
629,2003,4,13,Kitsilano,49.26846213,-123.175756,23,30,6,1
630,2003,4,29,Fairview,49.2679583,-123.1432453,19,0,1,1
632,2003,4,7,Fairview,49.26791623,-123.1408809,8,15,0,1
633,2003,4,7,Fairview,49.26791623,-123.1408809,8,0,0,1
634,2003,4,7,Kitsilano,49.26858478,-123.1836466,8,30,0,1
635,2003,10,15,Kitsilano,49.26849514,-123.1776943,18,30,2,1
638,2003,6,28,West Point Grey,49.2685995,-123.1856948,0,34,5,1
639,2003,3,23,West Point Grey,49.2685995,-123.1856948,14,50,6,1
644,2003,11,3,Kerrisdale,49.22719854,-123.1588122,10,0,0,1
645,2003,7,9,Oakridge,49.22573896,-123.1059037,19,35,2,1
650,2003,8,28,Kerrisdale,49.22696223,-123.1398167,12,0,3,1
653,2003,5,2,Kerrisdale,49.22696223,-123.1398167,11,29,4,1
654,2003,4,30,Kerrisdale,49.22696223,-123.1398167,9,55,2,1
655,2003,2,8,Kerrisdale,49.22696223,-123.1398167,5,39,5,1
657,2003,9,22,Kerrisdale,49.22701157,-123.1435938,13,15,0,1
660,2003,9,19,Oakridge,49.22747035,-123.1282811,9,53,4,1
662,2003,7,16,Oakridge,49.22747035,-123.1282811,14,22,2,1
669,2003,11,17,Oakridge,49.22699725,-123.1163446,17,45,0,1
670,2003,6,11,Oakridge,49.2298039,-123.1162139,20,40,2,1
672,2003,11,19,Oakridge,49.23376283,-123.123888,17,35,2,1
676,2003,1,4,Oakridge,49.23388418,-123.1280917,9,44,5,1
677,2003,4,15,Kerrisdale,49.23467711,-123.1627511,8,40,1,1
678,2003,3,10,Dunbar-Southlands,49.23477315,-123.1883428,12,55,0,1
680,2003,10,16,Kerrisdale,49.23433856,-123.1396315,0,7,3,1
681,2003,4,7,Kerrisdale,49.23433856,-123.1396315,12,45,0,1
682,2003,8,29,Dunbar-Southlands,49.23475627,-123.1820376,8,25,4,1
683,2003,9,23,Kerrisdale,49.23473408,-123.1730675,10,12,1,1
685,2003,1,20,Kerrisdale,49.23473901,-123.1757599,15,20,0,1
687,2003,7,5,South Cambie,49.2338184,-123.1223909,15,55,5,1
688,2003,6,20,South Cambie,49.23365219,-123.1178713,16,20,4,1
689,2003,5,16,Kitsilano,49.26889985,-123.1455986,15,30,4,1
690,2003,5,14,Dunbar-Southlands,49.23855752,-123.1786721,9,22,2,1
692,2003,5,22,Arbutus Ridge,49.23918487,-123.1553887,12,25,3,1
693,2003,12,20,Dunbar-Southlands,49.24237014,-123.185253,17,45,5,1
695,2003,10,18,Arbutus Ridge,49.24211087,-123.1534882,17,12,5,1
696,2003,10,12,Arbutus Ridge,49.24211087,-123.1534882,8,38,6,1
697,2003,3,28,Shaughnessy,49.25261302,-123.1274118,17,20,4,1
698,2003,5,16,Shaughnessy,49.25352158,-123.1273729,17,59,4,1
699,2003,6,1,South Cambie,49.25398411,-123.1152125,18,40,6,1
700,2003,3,1,Dunbar-Southlands,49.25649262,-123.1908029,0,55,5,1
703,2003,11,28,South Cambie,49.2558642,-123.1151207,16,43,4,1
705,2003,1,2,Arbutus Ridge,49.25751293,-123.1649289,19,0,3,1
707,2003,5,24,Kitsilano,49.25800406,-123.1851191,9,50,5,1
710,2003,5,15,Kitsilano,49.25877373,-123.1761201,11,51,3,1
711,2003,6,14,Fairview,49.25871249,-123.1267678,3,52,5,1
712,2003,10,22,Fairview,49.25883036,-123.1339147,18,14,2,1
713,2003,8,5,Fairview,49.25883036,-123.1339147,19,50,1,1
714,2003,8,4,Kitsilano,49.26111206,-123.1577391,16,30,0,1
716,2003,1,16,Kitsilano,49.26111206,-123.1577391,8,12,3,1
718,2003,6,17,Kitsilano,49.26118317,-123.1647899,12,39,1,1
723,2003,10,7,Mount Pleasant,49.26030665,-123.1069947,9,20,1,1
724,2003,6,8,Kitsilano,49.26137606,-123.1682678,8,33,6,1
725,2003,11,3,Fairview,49.26049183,-123.1199417,10,4,0,1
726,2003,9,17,Fairview,49.26079466,-123.1387028,2,42,2,1
727,2003,8,22,Fairview,49.26079466,-123.1387028,6,10,4,1
728,2003,3,27,Fairview,49.26083667,-123.1411493,6,0,3,1
730,2003,5,21,Fairview,49.26038892,-123.1149938,23,55,2,1
732,2003,11,2,Fairview,49.26071045,-123.1338373,23,0,6,1
733,2003,1,8,Fairview,49.26071045,-123.1338373,18,25,2,1
734,2003,12,13,Kitsilano,49.26114471,-123.1601581,12,15,5,1
736,2003,4,18,Kitsilano,49.26147541,-123.1740681,21,20,4,1
737,2003,6,20,Fairview,49.26173624,-123.1411107,19,30,4,1
738,2003,7,14,Kitsilano,49.26321113,-123.1682328,12,13,0,1
740,2003,11,25,West Point Grey,49.26362063,-123.1939229,19,30,1,1
741,2003,10,14,Kitsilano,49.26285454,-123.1529753,17,40,1,1
742,2003,8,17,West Point Grey,49.26348088,-123.1859093,19,25,6,1
744,2003,8,15,Kitsilano,49.26111206,-123.1577391,15,0,4,1
747,2003,10,9,Kitsilano,49.26292918,-123.1576761,8,32,3,1
751,2003,7,24,Kensington-Cedar Cottage,49.24513589,-123.0651801,7,0,3,1
752,2003,2,21,Grandview-Woodland,49.28120643,-123.0655852,17,45,4,1
753,2003,10,20,Kensington-Cedar Cottage,49.26228935,-123.0659174,19,27,0,1
754,2003,8,16,Kensington-Cedar Cottage,49.26228935,-123.0659174,23,5,5,1
755,2003,8,1,Kensington-Cedar Cottage,49.26228935,-123.0659174,19,0,4,1
757,2003,7,29,Kensington-Cedar Cottage,49.26228935,-123.0659174,17,40,1,1
759,2003,7,20,Kensington-Cedar Cottage,49.26228935,-123.0659174,0,37,6,1
760,2003,10,29,Victoria-Fraserview,49.22026362,-123.0658753,7,47,2,1
763,2003,7,5,Victoria-Fraserview,49.22026362,-123.0658753,18,37,5,1
764,2003,12,27,Victoria-Fraserview,49.22313314,-123.0658241,21,55,5,1
767,2003,12,9,Victoria-Fraserview,49.2251661,-123.0657719,15,30,1,1
771,2003,7,6,Victoria-Fraserview,49.2251661,-123.0657719,7,53,6,1
774,2003,3,30,Victoria-Fraserview,49.23268627,-123.0655346,20,0,6,1
776,2003,1,16,Victoria-Fraserview,49.23268627,-123.0655346,15,58,3,1
778,2003,11,25,Kensington-Cedar Cottage,49.23748079,-123.0654448,16,10,1,1
779,2003,8,23,Kensington-Cedar Cottage,49.24405643,-123.0652337,17,40,5,1
782,2003,10,26,Kensington-Cedar Cottage,49.2595368,-123.065955,11,5,6,1
783,2003,1,3,Kensington-Cedar Cottage,49.2595368,-123.065955,20,48,4,1
784,2003,4,5,Grandview-Woodland,49.27664425,-123.0683838,15,19,5,1
785,2003,2,28,Arbutus Ridge,49.24968607,-123.1592416,8,37,4,1
786,2003,2,14,Arbutus Ridge,49.24517845,-123.1533329,7,5,4,1
787,2003,4,23,Renfrew-Collingwood,49.23200799,-123.0312628,22,20,2,1
789,2003,8,5,Killarney,49.2246316,-123.0322744,13,40,1,1
790,2003,2,20,Grandview-Woodland,49.27910633,-123.0565631,9,0,3,1
791,2003,3,1,Arbutus Ridge,49.25751293,-123.1649289,20,53,5,1
794,2003,10,7,West End,49.28248538,-123.1280525,14,50,1,1
797,2003,1,11,West End,49.27759257,-123.1354365,5,48,5,1
798,2003,8,23,Strathcona,49.26986066,-123.0838803,17,0,5,1
799,2003,12,20,Strathcona,49.27073057,-123.0874284,14,44,5,1
803,2003,12,20,Grandview-Woodland,49.28479868,-123.0597185,17,22,5,1
807,2003,12,12,Marpole,49.20859717,-123.1209557,17,46,4,1
808,2003,9,23,Marpole,49.20859717,-123.1209557,11,50,1,1
809,2003,9,5,Marpole,49.20859717,-123.1209557,23,34,4,1
812,2003,3,20,Marpole,49.20859717,-123.1209557,11,55,3,1
814,2003,9,15,Marpole,49.21226023,-123.1099803,14,46,0,1
816,2003,10,11,Kerrisdale,49.22578166,-123.1684216,18,5,5,1
817,2003,2,6,Musqueam,49.23319243,-123.1923203,17,0,3,1
818,2003,12,11,Marpole,49.2070373,-123.1244253,18,25,3,1
819,2003,12,3,Marpole,49.2070373,-123.1244253,16,53,2,1
820,2003,7,9,Marpole,49.21004931,-123.1171698,8,10,2,1
822,2003,11,15,Stanley Park,49.29801387,-123.1254657,13,11,5,1
823,2003,7,4,Stanley Park,49.31103699,-123.1425722,14,38,4,1
826,2003,8,1,Sunset,49.23104695,-123.0946382,16,5,4,1
827,2003,12,7,Riley Park,49.25376953,-123.0938846,12,20,6,1
830,2003,6,16,Central Business District,49.27716336,-123.1166001,15,36,0,1
831,2003,5,21,Central Business District,49.27716336,-123.1166001,20,0,2,1
832,2003,10,27,West End,49.28221947,-123.1244356,4,15,0,1
837,2003,11,16,Renfrew-Collingwood,49.26200067,-123.049589,1,34,6,1
838,2003,9,23,Renfrew-Collingwood,49.25067568,-123.0496189,18,20,1,1
840,2003,9,22,Renfrew-Collingwood,49.25067568,-123.0496189,1,25,0,1
841,2003,1,26,Renfrew-Collingwood,49.25067568,-123.0496189,10,30,6,1
843,2003,7,11,Renfrew-Collingwood,49.25813085,-123.0285444,12,20,4,1
844,2003,10,17,Renfrew-Collingwood,49.24534864,-123.0285508,15,55,4,1
845,2003,10,28,Central Business District,49.2807142,-123.1188083,1,0,1,1
846,2003,10,19,Central Business District,49.27649772,-123.1251911,4,40,6,1
847,2003,10,6,Renfrew-Collingwood,49.23277204,-123.0332413,13,49,0,1
848,2003,10,5,Sunset,49.21221488,-123.0771235,9,22,6,1
849,2003,1,10,Sunset,49.21221488,-123.0771235,17,22,4,1
850,2003,6,27,Victoria-Fraserview,49.20964005,-123.066122,16,18,4,1
857,2003,12,20,Sunset,49.21108669,-123.0943255,1,49,5,1
858,2003,2,26,Killarney,49.20782638,-123.0389084,16,30,2,1
860,2003,6,9,Sunset,49.21097231,-123.0911399,16,29,0,1
862,2003,5,2,Sunset,49.21097231,-123.0911399,9,41,4,1
863,2003,7,25,Sunset,49.21104304,-123.0807052,16,55,4,1
864,2003,3,9,Victoria-Fraserview,49.21097678,-123.0720826,23,30,6,1
867,2003,3,25,Mount Pleasant,49.26728524,-123.0987899,15,50,1,1
868,2003,11,10,Renfrew-Collingwood,49.24069546,-123.0377665,20,0,0,1
870,2003,3,30,Renfrew-Collingwood,49.24069546,-123.0377665,10,45,6,1
871,2003,12,13,Renfrew-Collingwood,49.25812042,-123.0338767,20,0,5,1
876,2003,4,7,Renfrew-Collingwood,49.25812042,-123.0338767,17,0,0,1
877,2003,9,12,Hastings-Sunrise,49.26381439,-123.0338394,14,24,4,1
878,2003,9,2,Renfrew-Collingwood,49.25230051,-123.0338727,8,52,1,1
879,2003,10,23,Central Business District,49.2807142,-123.1188083,1,30,3,1
880,2003,10,20,Central Business District,49.28010349,-123.1178719,12,30,0,1
881,2003,9,17,Central Business District,49.28010349,-123.1178719,0,38,2,1
882,2003,10,23,Central Business District,49.28263609,-123.1217692,21,59,3,1
883,2003,8,19,West End,49.28941588,-123.1322923,19,5,1,1
884,2003,6,25,Central Business District,49.28340971,-123.1128748,13,46,2,1
886,2003,1,9,Central Business District,49.28340971,-123.1128748,19,18,3,1
887,2003,10,15,Central Business District,49.2847069,-123.1109251,21,0,2,1
891,2003,9,6,Hastings-Sunrise,49.2782752,-123.0441058,20,5,5,1
892,2003,3,7,Renfrew-Collingwood,49.26193984,-123.0443249,11,33,4,1
893,2003,4,3,Renfrew-Collingwood,49.25061489,-123.0442598,8,54,3,1
894,2003,5,10,Hastings-Sunrise,49.27325586,-123.0441701,18,32,5,1
896,2003,7,14,Central Business District,49.27494639,-123.1019672,15,32,0,1
897,2003,4,9,Strathcona,49.27658466,-123.0897484,13,20,2,1
898,2003,6,30,Strathcona,49.28118883,-123.0914755,9,10,0,1
899,2003,10,22,Sunset,49.23298779,-123.0972105,8,0,2,1
900,2003,7,31,Sunset,49.23298779,-123.0972105,11,50,3,1
901,2003,11,24,Grandview-Woodland,49.28484152,-123.0637337,22,45,0,1
904,2003,4,17,Grandview-Woodland,49.2838572,-123.07036,1,29,3,1
905,2003,10,15,Kitsilano,49.27145082,-123.1681784,21,43,2,1
906,2003,8,23,Fairview,49.26087877,-123.1434859,13,15,5,1
908,2003,1,2,West End,49.27965112,-123.1365833,17,22,3,1
910,2003,8,2,West End,49.27696639,-123.1324377,11,0,5,1
913,2003,3,26,Central Business District,49.276811,-123.1089689,11,20,2,1
916,2003,10,12,Central Business District,49.27397418,-123.1213354,18,40,6,1
917,2003,10,15,Marpole,49.21076244,-123.1315605,20,19,2,1
918,2003,1,29,Mount Pleasant,49.26300714,-123.1048977,18,40,2,1
922,2003,6,2,Mount Pleasant,49.26924103,-123.1046634,18,47,0,1
923,2003,11,14,Riley Park,49.25663828,-123.1051728,18,36,4,1
924,2003,8,5,Riley Park,49.25663828,-123.1051728,9,20,1,1
926,2003,7,3,Riley Park,49.25663828,-123.1051728,18,30,3,1
927,2003,7,14,Marpole,49.20847011,-123.1302639,22,47,0,1
928,2003,5,31,Marpole,49.21073699,-123.1302012,19,8,5,1
932,2003,5,4,Marpole,49.21073699,-123.1302012,12,21,6,1
935,2003,12,20,Marpole,49.21711571,-123.1292567,17,30,5,1
937,2003,5,14,Oakridge,49.22153322,-123.1285129,20,51,2,1
938,2003,4,10,Oakridge,49.22568021,-123.1283589,14,45,3,1
939,2003,11,16,Oakridge,49.22653482,-123.1283061,20,50,6,1
940,2003,10,1,Oakridge,49.22653482,-123.1283061,12,45,2,1
942,2003,3,27,Oakridge,49.22930543,-123.1282446,17,52,3,1
943,2003,11,5,Shaughnessy,49.24143148,-123.1278364,6,35,2,1
944,2003,1,26,Shaughnessy,49.24143148,-123.1278364,19,47,6,1
946,2003,6,25,Shaughnessy,49.25352158,-123.1273729,19,0,2,1
947,2003,2,3,Shaughnessy,49.25711085,-123.1272172,5,6,0,1
948,2003,9,3,Marpole,49.21445223,-123.1300324,19,32,2,1
949,2003,1,30,Marpole,49.21445223,-123.1300324,22,8,3,1
952,2003,11,1,West Point Grey,49.27442503,-123.208744,17,30,5,1
953,2003,9,30,Renfrew-Collingwood,49.25061588,-123.0416078,17,10,1,1
954,2003,3,22,West End,49.28977895,-123.1294053,0,22,5,1
955,2003,1,1,West End,49.28248538,-123.1280525,0,19,2,1
956,2003,12,19,Central Business District,49.27733967,-123.1201063,19,33,4,1
957,2003,5,27,Central Business District,49.27487919,-123.1159898,9,10,1,1
959,2003,7,9,Grandview-Woodland,49.27486251,-123.0695498,17,24,2,1
960,2003,9,7,Kensington-Cedar Cottage,49.25779666,-123.0566487,22,20,6,1
961,2003,11,6,Renfrew-Collingwood,49.24186538,-123.0581279,8,10,3,1
962,2003,11,4,Renfrew-Collingwood,49.24186538,-123.0581279,15,30,1,1
963,2003,1,9,Renfrew-Collingwood,49.24186538,-123.0581279,15,22,3,1
964,2003,8,1,Victoria-Fraserview,49.21583248,-123.059347,22,0,4,1
966,2003,5,5,Kensington-Cedar Cottage,49.26212338,-123.0565986,14,28,0,1
967,2003,4,13,Kensington-Cedar Cottage,49.26212338,-123.0565986,21,11,6,1
968,2003,3,27,Kensington-Cedar Cottage,49.26212338,-123.0565986,19,30,3,1
969,2003,10,5,Victoria-Fraserview,49.23282478,-123.0588728,23,27,6,1
970,2003,9,1,Kensington-Cedar Cottage,49.24578803,-123.0566624,18,14,0,1
972,2003,9,21,Grandview-Woodland,49.2847733,-123.0565283,18,0,6,1
973,2003,7,12,Grandview-Woodland,49.2847733,-123.0565283,13,45,5,1
974,2003,7,8,Grandview-Woodland,49.28659932,-123.0565304,8,30,1,1
975,2003,10,14,Fairview,49.26586133,-123.1205596,13,3,1,1
976,2003,9,4,Grandview-Woodland,49.28130921,-123.0741238,13,26,3,1
977,2003,11,26,Hastings-Sunrise,49.28870749,-123.049327,13,48,2,1
978,2003,12,24,Hastings-Sunrise,49.28873213,-123.0545526,19,0,2,1
980,2003,12,24,Killarney,49.21289455,-123.0251132,3,10,2,1
986,2003,11,20,Kerrisdale,49.22421386,-123.163994,14,50,3,1
989,2003,10,26,Riley Park,49.24779383,-123.1075036,1,30,6,1
991,2003,6,22,Central Business District,49.27769172,-123.0999106,2,38,6,1
994,2003,5,23,Central Business District,49.27769172,-123.0999106,22,50,4,1
996,2003,1,20,Strathcona,49.27274434,-123.0999418,17,17,0,1
997,2003,12,1,Central Business District,49.2767562,-123.0999362,17,50,0,1
998,2003,7,11,Central Business District,49.2767562,-123.0999362,12,20,4,1
1001,2003,5,19,Central Business District,49.2767562,-123.0999362,4,45,0,1
1002,2003,11,30,Central Business District,49.28318807,-123.0995642,22,17,6,1
1003,2003,12,6,Riley Park,49.23358673,-123.1015524,13,37,5,1
1004,2003,12,17,Central Business District,49.28134395,-123.099698,7,10,2,1
1006,2003,9,29,Central Business District,49.28134395,-123.099698,9,57,0,1
1007,2003,1,30,Central Business District,49.28134395,-123.099698,12,0,3,1
1010,2003,1,16,Central Business District,49.28134395,-123.099698,8,25,3,1
1011,2003,10,7,Riley Park,49.24935582,-123.1010626,11,37,1,1
1015,2003,10,29,Riley Park,49.25462713,-123.1009359,13,23,2,1
1016,2003,1,21,Mount Pleasant,49.25839595,-123.101136,15,52,1,1
1018,2003,11,18,Mount Pleasant,49.26019497,-123.1011672,16,40,1,1
1022,2003,1,8,Dunbar-Southlands,49.24233029,-123.1702227,15,40,2,1
1023,2003,3,14,Kitsilano,49.26407477,-123.168167,19,10,4,1
1024,2003,7,25,Kitsilano,49.25774183,-123.1683791,8,45,4,1
1025,2003,3,27,Kitsilano,49.27145082,-123.1681784,11,38,3,1
1026,2003,2,10,Kitsilano,49.26233858,-123.1682436,8,36,0,1
1027,2003,10,8,Hastings-Sunrise,49.26348301,-123.0284925,21,45,2,1
1028,2003,3,18,Renfrew-Collingwood,49.26559797,-123.0237104,17,20,1,1
1029,2003,9,30,Mount Pleasant,49.26857977,-123.0996997,9,1,1,1
1030,2003,5,23,Shaughnessy,49.25081388,-123.1275034,9,15,4,1
1031,2003,10,19,Marpole,49.21917009,-123.1261311,17,20,6,1
1035,2003,5,5,Killarney,49.2247182,-123.0426161,15,25,0,1
1036,2003,4,4,Killarney,49.23288623,-123.0417165,16,19,4,1
1037,2003,8,14,Fairview,49.26938621,-123.1377647,19,29,3,1
1038,2003,9,29,Grandview-Woodland,49.28117259,-123.061694,18,15,0,1
1040,2003,9,20,Sunset,49.20947118,-123.0773251,9,0,5,1
1041,2003,6,20,Kensington-Cedar Cottage,49.23273312,-123.077073,16,44,4,1
1042,2003,12,12,Kensington-Cedar Cottage,49.24643342,-123.0762424,6,12,4,1
1044,2003,5,16,Grandview-Woodland,49.27209423,-123.0657243,15,45,4,1
1046,2003,2,1,Grandview-Woodland,49.27209423,-123.0657243,12,0,5,1
1047,2003,7,21,Renfrew-Collingwood,49.23593539,-123.0423372,6,50,0,1
1051,2003,7,18,Renfrew-Collingwood,49.23593539,-123.0423372,15,21,4,1
1052,2003,12,24,Kensington-Cedar Cottage,49.24695968,-123.0690297,15,0,2,1
1053,2003,10,17,Kensington-Cedar Cottage,49.24695968,-123.0690297,19,20,4,1
1054,2003,7,15,Killarney,49.2320355,-123.0292711,16,55,1,1
1055,2003,10,12,Kensington-Cedar Cottage,49.25013056,-123.076097,23,0,6,1
1059,2003,1,6,Kensington-Cedar Cottage,49.25013056,-123.076097,12,5,0,1
1061,2003,8,4,Renfrew-Collingwood,49.23416549,-123.0359345,2,0,0,1
1062,2003,6,3,Renfrew-Collingwood,49.23416549,-123.0359345,7,45,1,1
1063,2003,5,14,Renfrew-Collingwood,49.23416549,-123.0359345,15,9,2,1
1066,2003,5,1,Renfrew-Collingwood,49.23416549,-123.0359345,22,0,3,1
1067,2003,4,5,Kensington-Cedar Cottage,49.25294216,-123.0818041,13,40,5,1
1068,2003,5,16,Kensington-Cedar Cottage,49.24848686,-123.0723158,14,29,4,1
1069,2003,7,14,Mount Pleasant,49.25987507,-123.0965762,6,49,0,1
1070,2003,10,10,Mount Pleasant,49.26196918,-123.0986694,15,28,4,1
1076,2003,9,25,Kensington-Cedar Cottage,49.24893596,-123.0733608,18,40,3,1
1077,2003,3,11,Kensington-Cedar Cottage,49.24578277,-123.0665412,23,40,1,1
1078,2003,1,29,Strathcona,49.2793013,-123.0896159,4,45,2,1
1079,2003,7,9,Renfrew-Collingwood,49.24003205,-123.0301276,9,0,2,1
1084,2003,6,15,Renfrew-Collingwood,49.23416549,-123.0359345,14,30,6,1
1085,2003,4,9,Renfrew-Collingwood,49.23416549,-123.0359345,8,45,2,1
1087,2003,8,11,Renfrew-Collingwood,49.23641501,-123.0336009,12,42,0,1
1088,2003,9,26,Killarney,49.22926262,-123.0374006,5,50,4,1
1089,2003,5,17,West End,49.28351319,-123.133899,23,52,5,1
1091,2003,7,16,West End,49.2877212,-123.1274748,12,30,2,1
1092,2003,9,12,Central Business District,49.28527776,-123.1158492,9,35,4,1
1093,2003,12,29,Central Business District,49.28312455,-123.1191579,8,58,0,1
1096,2003,12,12,Central Business District,49.27779983,-123.1272017,22,12,4,1
1099,2003,12,24,Central Business District,49.27627495,-123.131391,15,49,2,1
1100,2003,3,4,Central Business District,49.2794556,-123.126601,17,27,1,1
1101,2003,9,27,Central Business District,49.27842979,-123.1184591,3,9,5,1
1103,2003,7,26,Central Business District,49.27733967,-123.1201063,9,43,5,1
1104,2003,10,1,Fairview,49.26355929,-123.1360991,19,55,2,1
1105,2003,8,4,Fairview,49.26355929,-123.1360991,15,56,0,1
1107,2003,5,24,Fairview,49.26355929,-123.1360991,7,0,5,1
1109,2003,2,28,Central Business District,49.2799362,-123.1142692,10,23,4,1
1110,2003,5,25,Central Business District,49.27419776,-123.1307806,15,46,6,1
1113,2003,2,11,Central Business District,49.27536247,-123.126893,12,15,1,1
1114,2003,5,27,Central Business District,49.28464909,-123.1148577,13,59,1,1
1115,2003,9,7,Shaughnessy,49.24950519,-123.1390972,15,59,6,1
1117,2003,7,17,Fairview,49.26617407,-123.1384705,22,30,3,1
1118,2003,8,19,Marpole,49.21050907,-123.1404706,18,26,1,1
1120,2003,8,28,Marpole,49.21136365,-123.1404455,17,30,3,1
1121,2003,8,25,Fairview,49.26676777,-123.1384584,13,42,0,1
1124,2003,9,3,Shaughnessy,49.23536407,-123.1395932,19,13,2,1
1127,2003,5,2,Shaughnessy,49.24088746,-123.139334,15,40,4,1
1128,2003,12,6,Shaughnessy,49.24188595,-123.1393231,19,30,5,1
1129,2003,9,19,Shaughnessy,49.24188595,-123.1393231,21,48,4,1
