YEAR,MONTH,DAY_OF_MONTH,Latitude,Longitude,TIME_HOUR,TIME_MINUTE,DAY_OF_WEEK,CLASSIFICATION,NEIGHBOURHOOD
2004,11,12,49.21147658,-123.1201632,19,0,4,1,10
2005,2,22,49.26691701,-123.07006770000001,22,0,1,1,4
2004,1,26,49.25923016,-123.0978011,4,0,0,1,11
2010,10,22,49.27710623,-123.10644540000001,16,0,4,1,1
2014,2,23,49.27843487,-123.1282696,19,14,6,1,1
2005,3,23,49.26359808,-123.10080249999999,1,0,2,1,11
2016,11,9,49.25765259,-123.1097122,18,54,2,1,11
2003,10,24,49.23441334,-123.1156723,21,0,4,1,15
2006,10,21,49.26416554,-123.1760669,22,0,5,1,9
2010,1,15,49.29842041,-123.11886480000001,11,0,4,1,18
2012,2,9,49.2756318,-123.12472749999999,7,12,3,1,1
2015,8,22,49.26657788,-123.1094514,16,29,5,1,11
2006,8,23,49.28028527,-123.12745790000001,13,53,2,1,22
2003,10,11,49.283632,-123.1092067,19,30,5,1,1
2012,8,22,49.24448811,-123.13012420000001,23,0,2,1,16
2006,10,30,49.26034042,-123.0600314,18,15,0,1,6
2010,9,30,49.28721137,-123.1196399,8,0,3,1,1
2004,4,6,49.23033166,-123.0653933,0,0,1,1,21
2015,4,18,49.27879746,-123.1216231,19,49,5,1,1
2004,9,30,49.22675865,-123.13521770000001,18,0,3,1,13
2008,2,5,49.25936883,-123.1085179,1,30,1,1,11
2006,12,25,49.255733299999996,-123.1159507,19,0,0,1,17
2010,2,18,49.25933867,-123.2098135,16,0,3,1,23
2009,9,7,49.27042744,-123.0520965,23,30,0,1,5
2003,10,27,49.27378788,-123.0656585,19,0,0,1,4
2015,10,25,49.28023237,-123.0693902,22,0,6,1,4
2006,2,24,49.23548032,-123.10625970000001,18,0,4,1,15
2006,3,27,49.25780002,-123.12352279999999,23,0,0,1,3
2006,3,12,49.28466571,-123.12274920000002,10,45,6,1,22
2013,7,15,49.23402869,-123.0280808,11,0,0,1,14
2008,7,12,49.23826908,-123.0830271,15,0,5,1,6
2006,7,5,49.26049823,-123.1199365,13,50,2,1,3
2013,3,13,49.23358553,-123.1201479,16,20,2,1,13
2014,7,1,49.22255818,-123.02707620000001,14,0,1,1,8
2010,5,6,49.22196277,-123.15892520000001,10,26,3,1,7
2015,11,5,49.28129387,-123.07627420000001,23,21,3,1,4
2004,10,25,49.27856914,-123.09977140000001,12,50,0,1,19
2006,1,27,49.23194615,-123.19231119999999,0,0,4,1,7
2005,12,5,49.26430395,-123.1230716,20,0,0,1,3
2010,10,12,49.26328946,-123.0736314,15,0,1,1,4
2012,8,23,49.28290974,-123.10693529999999,0,7,3,1,1
2012,4,13,49.22608212,-123.1166493,12,0,4,1,13
2016,4,24,49.27662887,-123.11897330000001,12,0,6,1,1
2006,7,3,49.23193242,-123.0306412,13,0,0,1,8
2008,5,18,49.28229119,-123.11832920000002,16,56,6,1,1
2016,11,2,49.28236741,-123.1144553,18,0,2,1,1
2004,7,24,49.26931722,-123.1036622,22,0,5,1,11
2005,8,12,49.27575633,-123.03351950000001,6,0,4,1,5
2012,2,22,49.28038128,-123.0996993,22,0,2,1,19
2008,11,16,49.29310934,-123.1380223,13,36,6,1,22
2008,3,1,49.26613591,-123.0945131,17,30,5,1,11
2015,7,17,49.28202504,-123.051255,0,1,4,1,5
2003,1,10,49.26502058,-123.1197489,11,30,4,1,3
2017,6,24,49.2800986,-123.12366979999999,17,0,5,1,1
2004,4,10,49.28155915,-123.1101543,8,0,5,1,1
2003,7,25,49.25576084,-123.1126652,21,0,4,1,15
2006,8,3,49.28248082,-123.1182307,19,0,3,1,1
2008,12,3,49.26627082,-123.14617679999999,18,0,2,1,9
2005,2,26,49.24622599,-123.1250767,8,30,5,1,17
2003,8,26,49.25374195,-123.1907601,22,0,1,1,2
2015,11,21,49.28276102,-123.11761820000001,13,40,5,1,1
2015,11,4,49.28102934,-123.118424,12,30,2,1,1
2010,3,11,49.28245092,-123.11826429999999,14,34,3,1,1
2016,8,30,49.26377453,-123.1526003,12,10,1,1,9
2016,10,31,49.26326046,-123.11562590000001,16,8,0,1,3
2011,5,26,49.284139399999994,-123.1075912,12,10,3,1,1
2015,11,30,49.25725351,-123.15076880000001,22,30,0,1,9
2005,6,17,49.26420094,-123.1167625,9,30,4,1,3
